"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"427","Xavier Restrepo","TEN","wr","9","17","10","0","0","0","0","0","0","0","0","0","0","7.9634","4.8203","57.4905","0.3129","0.052","0.0287","0.0165","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"428","Charlie Jones","CIN","wr","6","17","9.8","0","0","0","0","0","0","0","0","0","0","5.1481","3.2287","40.3408","0.2484","0.0348","0.0192","0.0138","1004.4636","0.4392","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"429","Dylan Drummond","ATL","wr","11","17","8","0","0","0","0","0","0","0","0","0","0","5.9907","3.9371","44.7747","0.2688","0.0424","0.0234","0.0149","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"430","Reggie Virgil","ARZ","wr","14","17","7.8","0","0","0","0","0","0","0","0","0","0","5.9551","3.8143","44.5584","0.2444","0.0411","0.0227","0.0144","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"431","Jahdae Walker","CHI","wr","10","17","7.5","0","0","0","0","0","0","0","0","0","0","5.6475","3.3976","41.7239","0.271","0.0366","0.0202","0.0147","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"432","Nick Westbrook-Ikhine","IND","wr","13","17","7.4","0","0","0","0","0","0","0","0","0","0","5.5725","3.5796","40.2032","0.2608","0.0386","0.0213","0.0152","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"433","Mason Tipton","NO","wr","8","6","7.4","0","0","0","0","0","0","0","1.0292","5.7831","0.0308","5.0163","3.293","36.2599","0.1892","0.0494","0.0257","0.0125","195.184","0.0499","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"434","Derius Davis","LAC","wr","7","17","7","0","0","0","0","0","0","0","5.5329","32.6219","0.2228","0","0","0","0","0.0748","0.0329","0.006","926.2198","0.4172","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"435","Elijah Moore","PHI","wr","10","17","6.9","0","0","0","0","0","0","0","0","0","0","5.3758","3.5822","39.3935","0.1978","0.0386","0.0213","0.0167","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"436","Lil'Jordan Humphrey","DEN","wr","10","17","5.5","0","0","0","0","0","0","0","0","0","0","4.1246","2.6727","29.2014","0.2068","0.0288","0.0159","0.0103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
